"estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno"
"Rondônia","Paulo Maluf ","PDS","PDS",24934,0.0368773397473342,"Presidente",1989,"Turno 1"
"Acre","Paulo Maluf ","PDS","PDS",12882,0.0190524541038405,"Presidente",1989,"Turno 1"
"Amazonas","Paulo Maluf ","PDS","PDS",24832,0.0367264819365446,"Presidente",1989,"Turno 1"
"Roraima","Paulo Maluf ","PDS","PDS",1377,0.00203658044565971,"Presidente",1989,"Turno 1"
"Pará","Paulo Maluf ","PDS","PDS",62848,0.0929520754167184,"Presidente",1989,"Turno 1"
"Amapá","Paulo Maluf ","PDS","PDS",1960,0.00289883636419247,"Presidente",1989,"Turno 1"
"Tocantins","Paulo Maluf ","PDS","PDS",13258,0.019608557406359,"Presidente",1989,"Turno 1"
"Maranhão","Paulo Maluf ","PDS","PDS",35939,0.0531537143330169,"Presidente",1989,"Turno 1"
"Piauí","Paulo Maluf ","PDS","PDS",38236,0.056550973072073,"Presidente",1989,"Turno 1"
"Ceará","Paulo Maluf ","PDS","PDS",108877,0.161028881032747,"Presidente",1989,"Turno 1"
"R. G. do Norte","Paulo Maluf ","PDS","PDS",52546,0.0777154365269681,"Presidente",1989,"Turno 1"
"Paraíba","Paulo Maluf ","PDS","PDS",33777,0.0499561203435352,"Presidente",1989,"Turno 1"
"Pernambuco","Paulo Maluf ","PDS","PDS",43518,0.0643630412739427,"Presidente",1989,"Turno 1"
"Alagoas","Paulo Maluf ","PDS","PDS",9253,0.0136851698356494,"Presidente",1989,"Turno 1"
"Sergipe","Paulo Maluf ","PDS","PDS",23550,0.0348304063146595,"Presidente",1989,"Turno 1"
"Bahia","Paulo Maluf ","PDS","PDS",72200,0.106783666068723,"Presidente",1989,"Turno 1"
"Minas Gerais","Paulo Maluf ","PDS","PDS",275669,0.407713939632945,"Presidente",1989,"Turno 1"
"Espírito Santo","Paulo Maluf ","PDS","PDS",32221,0.0476547992299212,"Presidente",1989,"Turno 1"
"Rio de Janeiro","Paulo Maluf ","PDS","PDS",115656,0.171055009457675,"Presidente",1989,"Turno 1"
"São Paulo","Paulo Maluf ","PDS","PDS",3934334,5.81887268779531,"Presidente",1989,"Turno 1"
"Paraná","Paulo Maluf ","PDS","PDS",319932,0.47317883452491,"Presidente",1989,"Turno 1"
