estado,nome,partido,coligacao,votos,porcentagem,cargo,ano,turno
Ceará,Paulo Maluf ,PDS,PDS,108877,0.16,Presidente,1989,Turno 1
R. G. do Norte,Paulo Maluf ,PDS,PDS,52546,0.08,Presidente,1989,Turno 1
Paraíba,Paulo Maluf ,PDS,PDS,33777,0.05,Presidente,1989,Turno 1
Pernambuco,Paulo Maluf ,PDS,PDS,43518,0.06,Presidente,1989,Turno 1
Alagoas,Paulo Maluf ,PDS,PDS,9253,0.01,Presidente,1989,Turno 1
Sergipe,Paulo Maluf ,PDS,PDS,23550,0.03,Presidente,1989,Turno 1
Bahia,Paulo Maluf ,PDS,PDS,72200,0.11,Presidente,1989,Turno 1
Minas Gerais,Paulo Maluf ,PDS,PDS,275669,0.41,Presidente,1989,Turno 1
Espírito Santo,Paulo Maluf ,PDS,PDS,32221,0.05,Presidente,1989,Turno 1
Rio de Janeiro,Paulo Maluf ,PDS,PDS,115656,0.17,Presidente,1989,Turno 1
São Paulo,Paulo Maluf ,PDS,PDS,3934334,5.82,Presidente,1989,Turno 1
Paraná,Paulo Maluf ,PDS,PDS,319932,0.47,Presidente,1989,Turno 1
Santa Catarina,Paulo Maluf ,PDS,PDS,236151,0.35,Presidente,1989,Turno 1
R. G. do Sul,Paulo Maluf ,PDS,PDS,309406,0.46,Presidente,1989,Turno 1
M. G. do Sul,Paulo Maluf ,PDS,PDS,47237,0.07,Presidente,1989,Turno 1
Mato Grosso,Paulo Maluf ,PDS,PDS,43679,0.06,Presidente,1989,Turno 1
Goiás,Paulo Maluf ,PDS,PDS,80376,0.12,Presidente,1989,Turno 1
Distrito Federal,Paulo Maluf ,PDS,PDS,31364,0.05,Presidente,1989,Turno 1
Rondônia,Guilherme Afif ,PL,PL PDC,26123,0.04,Presidente,1989,Turno 1
Acre,Guilherme Afif ,PL,PL PDC,7149,0.01,Presidente,1989,Turno 1
Amazonas,Guilherme Afif ,PL,PL PDC,36544,0.05,Presidente,1989,Turno 1
Roraima,Guilherme Afif ,PL,PL PDC,2252,0,Presidente,1989,Turno 1
Pará,Guilherme Afif ,PL,PL PDC,65419,0.1,Presidente,1989,Turno 1
Amapá,Guilherme Afif ,PL,PL PDC,4323,0.01,Presidente,1989,Turno 1
Tocantins,Guilherme Afif ,PL,PL PDC,9822,0.01,Presidente,1989,Turno 1
Maranhão,Guilherme Afif ,PL,PL PDC,54021,0.08,Presidente,1989,Turno 1
Piauí,Guilherme Afif ,PL,PL PDC,36829,0.05,Presidente,1989,Turno 1
Ceará,Guilherme Afif ,PL,PL PDC,60228,0.09,Presidente,1989,Turno 1
R. G. do Norte,Guilherme Afif ,PL,PL PDC,20846,0.03,Presidente,1989,Turno 1
Paraíba,Guilherme Afif ,PL,PL PDC,25659,0.04,Presidente,1989,Turno 1
Pernambuco,Guilherme Afif ,PL,PL PDC,70093,0.1,Presidente,1989,Turno 1
Alagoas,Guilherme Afif ,PL,PL PDC,26869,0.04,Presidente,1989,Turno 1
Sergipe,Guilherme Afif ,PL,PL PDC,9744,0.01,Presidente,1989,Turno 1
Bahia,Guilherme Afif ,PL,PL PDC,100970,0.15,Presidente,1989,Turno 1
Minas Gerais,Guilherme Afif ,PL,PL PDC,503027,0.74,Presidente,1989,Turno 1
Espírito Santo,Guilherme Afif ,PL,PL PDC,45644,0.07,Presidente,1989,Turno 1
Rio de Janeiro,Guilherme Afif ,PL,PL PDC,191751,0.28,Presidente,1989,Turno 1
São Paulo,Guilherme Afif ,PL,PL PDC,807944,1.19,Presidente,1989,Turno 1
Paraná,Guilherme Afif ,PL,PL PDC,494608,0.73,Presidente,1989,Turno 1
Santa Catarina,Guilherme Afif ,PL,PL PDC,206957,0.31,Presidente,1989,Turno 1
R. G. do Sul,Guilherme Afif ,PL,PL PDC,178311,0.26,Presidente,1989,Turno 1
M. G. do Sul,Guilherme Afif ,PL,PL PDC,60061,0.09,Presidente,1989,Turno 1
Mato Grosso,Guilherme Afif ,PL,PL PDC,66916,0.1,Presidente,1989,Turno 1
Goiás,Guilherme Afif ,PL,PL PDC,111808,0.17,Presidente,1989,Turno 1
Distrito Federal,Guilherme Afif ,PL,PL PDC,48068,0.07,Presidente,1989,Turno 1
Rondônia,Ulysses Guimarães ,PMDB,PMDB,19370,0.03,Presidente,1989,Turno 1
Acre,Ulysses Guimarães ,PMDB,PMDB,14580,0.02,Presidente,1989,Turno 1
Amazonas,Ulysses Guimarães ,PMDB,PMDB,17303,0.03,Presidente,1989,Turno 1
Roraima,Ulysses Guimarães ,PMDB,PMDB,1589,0,Presidente,1989,Turno 1
