estado,ano,turno,situacao,quantidade,proporcao
Pernambuco,2010,2,VALIDOS,4571188,0.7306437712263186
Pernambuco,2014,1,DEMAIS,1544895,0.24314278928758098
Pernambuco,2014,1,VALIDOS,4808964,0.7568572107124191
Pernambuco,2014,2,DEMAIS,1456656,0.22924709718327746
Pernambuco,2014,2,VALIDOS,4897431,0.7707529028167225
Piauí,1989,1,DEMAIS,369210,0.27671062039358996
Piauí,1989,1,VALIDOS,965072,0.72328937960641
Piauí,1989,2,DEMAIS,369210,0.27671062039358996
Piauí,1989,2,VALIDOS,965072,0.72328937960641
Piauí,1994,1,DEMAIS,706237,0.43296584457328247
Piauí,1994,1,VALIDOS,924924,0.5670341554267175
Piauí,1998,1,DEMAIS,777516,0.43652471717710467
Piauí,1998,1,VALIDOS,1003634,0.5634752828228953
Piauí,2002,1,DEMAIS,533007,0.28837813505658194
Piauí,2002,1,VALIDOS,1315285,0.7116218649434181
Piauí,2002,2,DEMAIS,489432,0.26480231478575894
Piauí,2002,2,VALIDOS,1358860,0.735197685214241
Piauí,2006,1,DEMAIS,2578055,0.6216662712008272
Piauí,2006,1,VALIDOS,1568953,0.3783337287991728
Piauí,2006,2,DEMAIS,2573287,0.6205165266138865
Piauí,2006,2,VALIDOS,1573721,0.37948347338611355
Piauí,2010,1,DEMAIS,639821,0.28287357937840596
Piauí,2010,1,VALIDOS,1622041,0.717126420621594
Piauí,2010,2,DEMAIS,672459,0.29729421454500604
Piauí,2010,2,VALIDOS,1589472,0.702705785454994
Piauí,2014,1,DEMAIS,595094,0.2538281475263556
Piauí,2014,1,VALIDOS,1749382,0.7461718524736445
Piauí,2014,2,DEMAIS,575525,0.24547825660427255
Piauí,2014,2,VALIDOS,1768980,0.7545217433957274
R. G. do Norte,1989,1,DEMAIS,318604,0.24544098705172532
R. G. do Norte,1989,1,VALIDOS,979484,0.7545590129482747
R. G. do Norte,1989,2,DEMAIS,318604,0.24544098705172532
R. G. do Norte,1989,2,VALIDOS,979484,0.7545590129482747
R. G. do Norte,1994,1,DEMAIS,547479,0.36716155459817906
R. G. do Norte,1994,1,VALIDOS,943633,0.6328384454018209
R. G. do Norte,1998,1,DEMAIS,692194,0.40034933992683525
R. G. do Norte,1998,1,VALIDOS,1036781,0.5996506600731647
R. G. do Norte,2002,1,DEMAIS,585972,0.30561046259952374
R. G. do Norte,2002,1,VALIDOS,1331410,0.6943895374004763
R. G. do Norte,2002,2,DEMAIS,583807,0.30448131879823637
R. G. do Norte,2002,2,VALIDOS,1333575,0.6955186812017636
R. G. do Norte,2006,1,DEMAIS,2618743,0.623170758405897
R. G. do Norte,2006,1,VALIDOS,1583545,0.376829241594103
R. G. do Norte,2006,2,DEMAIS,2625926,0.6248800653358361
R. G. do Norte,2006,2,VALIDOS,1576362,0.3751199346641639
