estado,partido,votos,eleicao,ano
Goiás,PT,71414,Camara dos Deputados 1986,1986
Distrito Federal,PT,49609,Camara dos Deputados 1986,1986
Rondônia,PDT,16921,Camara dos Deputados 1986,1986
Acre,PDT,738,Camara dos Deputados 1986,1986
Amazonas,PDT,50565,Camara dos Deputados 1986,1986
Roraima,PDT,1712,Camara dos Deputados 1986,1986
Pará,PDT,10089,Camara dos Deputados 1986,1986
Amapá,PDT,5896,Camara dos Deputados 1986,1986
Maranhão,PDT,54849,Camara dos Deputados 1986,1986
Piauí,PDT,8967,Camara dos Deputados 1986,1986
Ceará,PDT,125994,Camara dos Deputados 1986,1986
R. G. do Norte,PDT,13320,Camara dos Deputados 1986,1986
Paraíba,PDT,2297,Camara dos Deputados 1986,1986
Pernambuco,PDT,60463,Camara dos Deputados 1986,1986
Alagoas,PDT,17156,Camara dos Deputados 1986,1986
Sergipe,PDT,10257,Camara dos Deputados 1986,1986
Bahia,PDT,68985,Camara dos Deputados 1986,1986
Minas Gerais,PDT,160898,Camara dos Deputados 1986,1986
Espírito Santo,PDT,6562,Camara dos Deputados 1986,1986
Rio de Janeiro,PDT,1253280,Camara dos Deputados 1986,1986
São Paulo,PDT,389520,Camara dos Deputados 1986,1986
Paraná,PDT,163708,Camara dos Deputados 1986,1986
Santa Catarina,PDT,38254,Camara dos Deputados 1986,1986
R. G. do Sul,PDT,534604,Camara dos Deputados 1986,1986
M. G. do Sul,PDT,14608,Camara dos Deputados 1986,1986
Mato Grosso,PDT,8120,Camara dos Deputados 1986,1986
Goiás,PDT,7982,Camara dos Deputados 1986,1986
Distrito Federal,PDT,49684,Camara dos Deputados 1986,1986
Rondônia,PTB,5295,Camara dos Deputados 1986,1986
Acre,PTB,641,Camara dos Deputados 1986,1986
Amazonas,PTB,8419,Camara dos Deputados 1986,1986
Roraima,PTB,21013,Camara dos Deputados 1986,1986
Pará,PTB,21141,Camara dos Deputados 1986,1986
Amapá,PTB,682,Camara dos Deputados 1986,1986
Maranhão,PTB,3242,Camara dos Deputados 1986,1986
Piauí,PTB,NA,Camara dos Deputados 1986,1986
Ceará,PTB,28272,Camara dos Deputados 1986,1986
R. G. do Norte,PTB,NA,Camara dos Deputados 1986,1986
Paraíba,PTB,1831,Camara dos Deputados 1986,1986
Pernambuco,PTB,3258,Camara dos Deputados 1986,1986
Alagoas,PTB,35932,Camara dos Deputados 1986,1986
Sergipe,PTB,NA,Camara dos Deputados 1986,1986
Bahia,PTB,57897,Camara dos Deputados 1986,1986
Minas Gerais,PTB,136938,Camara dos Deputados 1986,1986
Espírito Santo,PTB,4301,Camara dos Deputados 1986,1986
Rio de Janeiro,PTB,302473,Camara dos Deputados 1986,1986
São Paulo,PTB,1289272,Camara dos Deputados 1986,1986
Paraná,PTB,55203,Camara dos Deputados 1986,1986
Santa Catarina,PTB,4256,Camara dos Deputados 1986,1986
R. G. do Sul,PTB,NA,Camara dos Deputados 1986,1986
M. G. do Sul,PTB,117190,Camara dos Deputados 1986,1986
Mato Grosso,PTB,2061,Camara dos Deputados 1986,1986
Goiás,PTB,2381,Camara dos Deputados 1986,1986
Distrito Federal,PTB,8769,Camara dos Deputados 1986,1986
Rondônia,PL,NA,Camara dos Deputados 1986,1986
Acre,PL,NA,Camara dos Deputados 1986,1986
Amazonas,PL,2080,Camara dos Deputados 1986,1986
Roraima,PL,1084,Camara dos Deputados 1986,1986
Pará,PL,NA,Camara dos Deputados 1986,1986
Amapá,PL,NA,Camara dos Deputados 1986,1986
Maranhão,PL,3545,Camara dos Deputados 1986,1986
Piauí,PL,NA,Camara dos Deputados 1986,1986
Ceará,PL,1301,Camara dos Deputados 1986,1986
