estado,ano,turno,situacao,quantidade,proporcao
Paraná,1989,1,DEMAIS,4519095,0.8956460506585308
Paraná,1989,2,ABSTENÇÃO,526531,0.10435394934146923
Paraná,1989,2,DEMAIS,4519095,0.8956460506585308
Paraná,1994,1,ABSTENÇÃO,1002593,0.1744733265035465
Paraná,1994,1,DEMAIS,4743804,0.8255266734964535
Paraná,1998,1,ABSTENÇÃO,1348511,0.21122597784220756
Paraná,1998,1,DEMAIS,5035699,0.7887740221577925
Paraná,2002,1,ABSTENÇÃO,1078033,0.16178468558228923
Paraná,2002,1,DEMAIS,5585348,0.8382153144177108
Paraná,2002,2,ABSTENÇÃO,1235027,0.1853453974791476
Paraná,2002,2,DEMAIS,5428354,0.8146546025208524
Paraná,2006,1,ABSTENÇÃO,1153861,0.08101526177190348
Paraná,2006,1,DEMAIS,13088653,0.9189847382280966
Paraná,2006,2,ABSTENÇÃO,1330661,0.0934288005614739
Paraná,2006,2,DEMAIS,12911853,0.906571199438526
Paraná,2010,1,ABSTENÇÃO,1250376,0.1645664865183583
Paraná,2010,1,DEMAIS,6347623,0.8354335134816416
Paraná,2010,2,ABSTENÇÃO,1491451,0.19629174742114314
Paraná,2010,2,DEMAIS,6106683,0.8037082525788568
Paraná,2014,1,ABSTENÇÃO,1324920,0.16853977607152928
Paraná,2014,1,DEMAIS,6536251,0.8314602239284707
Paraná,2014,2,ABSTENÇÃO,1448941,0.1843081839727523
Paraná,2014,2,DEMAIS,6412571,0.8156918160272477
Pernambuco,1989,1,ABSTENÇÃO,553572,0.14706455094825038
Pernambuco,1989,1,DEMAIS,3210571,0.8529354490517497
Pernambuco,1989,2,ABSTENÇÃO,553572,0.14706455094825038
Pernambuco,1989,2,DEMAIS,3210571,0.8529354490517497
Pernambuco,1994,1,ABSTENÇÃO,943966,0.21127506407863297
Pernambuco,1994,1,DEMAIS,3523982,0.788724935921367
Pernambuco,1998,1,ABSTENÇÃO,1309413,0.25578968959387394
Pernambuco,1998,1,DEMAIS,3809687,0.7442103104061261
Pernambuco,2002,1,ABSTENÇÃO,1150439,0.2131758361225549
Pernambuco,2002,1,DEMAIS,4246228,0.7868241638774451
Pernambuco,2002,2,ABSTENÇÃO,1300819,0.2410411833822617
Pernambuco,2002,2,DEMAIS,4095848,0.7589588166177383
Pernambuco,2006,1,ABSTENÇÃO,1064542,0.09122802386900566
Pernambuco,2006,1,DEMAIS,10604482,0.9087719761309944
Pernambuco,2006,2,ABSTENÇÃO,1133388,0.09712791746764768
Pernambuco,2006,2,DEMAIS,10535636,0.9028720825323523
Pernambuco,2010,1,ABSTENÇÃO,1214277,0.19409137764331233
Pernambuco,2010,1,DEMAIS,5041936,0.8059086223566877
Pernambuco,2010,2,ABSTENÇÃO,1373943,0.21960656507017473
Pernambuco,2010,2,DEMAIS,4882441,0.7803934349298253
Pernambuco,2014,1,ABSTENÇÃO,1049479,0.1651719057662438
Pernambuco,2014,1,DEMAIS,5304380,0.8348280942337563
Pernambuco,2014,2,ABSTENÇÃO,1128804,0.1776500699471065
Pernambuco,2014,2,DEMAIS,5225283,0.8223499300528935
Piauí,1989,1,ABSTENÇÃO,259703,0.1946387645190447
Piauí,1989,1,DEMAIS,1074579,0.8053612354809553
Piauí,1989,2,ABSTENÇÃO,259703,0.1946387645190447
Piauí,1989,2,DEMAIS,1074579,0.8053612354809553
Piauí,1994,1,ABSTENÇÃO,363008,0.22254578180817222
Piauí,1994,1,DEMAIS,1268153,0.7774542181918278
Piauí,1998,1,ABSTENÇÃO,434557,0.2439755214327822
Piauí,1998,1,DEMAIS,1346593,0.7560244785672178
Piauí,2002,1,ABSTENÇÃO,291650,0.15779433119874997
Piauí,2002,1,DEMAIS,1556642,0.84220566880125
Piauí,2002,2,ABSTENÇÃO,406397,0.21987705405855784
Piauí,2002,2,DEMAIS,1441895,0.7801229459414422
Piauí,2006,1,ABSTENÇÃO,334856,0.08074640801271664
Piauí,2006,1,DEMAIS,3812152,0.9192535919872834
